Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
113,37,Male,Gloves,Accessories,65,Florida,2,Red,Spring,4.3,1,Free Shipping,1,1,28,PayPal,26.0
114,44,Male,Hat,Accessories,54,New Jersey,3,Maroon,Winter,3.1,1,Next Day Air,1,1,20,PayPal,4.0
115,70,Male,Coat,Outerwear,95,Massachusetts,1,Blue,Summer,3.7,1,Store Pickup,1,1,9,Cash,52.0
116,53,Male,Skirt,Clothing,94,Wyoming,2,Gray,Spring,3.8,1,Standard,1,1,48,Debit Card,4.0
117,55,Male,Shoes,Footwear,86,Virginia,1,Blue,Spring,3.4,1,Free Shipping,1,1,12,Venmo,1.0
118,50,Male,Sandals,Footwear,32,South Dakota,3,Yellow,Summer,4.6,1,Express,1,1,29,Cash,26.0
119,50,Male,Sweater,Clothing,45,Kentucky,3,Orange,Fall,4.8,1,2-Day Shipping,1,1,27,Cash,26.0
120,38,Male,Coat,Outerwear,76,Wyoming,2,Orange,Fall,4.3,1,Express,1,1,44,Cash,1.0
121,64,Male,Hat,Accessories,84,West Virginia,3,Red,Summer,4.0,1,Express,1,1,32,Bank Transfer,1.0
122,19,Male,Shorts,Clothing,72,Virginia,2,Olive,Winter,4.2,1,Standard,1,1,11,Cash,26.0
123,40,Male,Backpack,Accessories,40,Washington,3,Brown,Spring,4.8,1,2-Day Shipping,1,1,44,Cash,26.0
124,57,Male,Sweater,Clothing,89,Louisiana,3,Brown,Fall,3.1,1,Free Shipping,1,1,46,Cash,52.0
125,44,Male,Sweater,Clothing,86,Nevada,2,Gray,Spring,3.1,1,Next Day Air,1,1,50,PayPal,1.0
126,49,Male,Shorts,Clothing,54,California,2,Indigo,Winter,3.6,1,Next Day Air,1,1,45,Venmo,4.0
127,43,Male,Shorts,Clothing,36,Mississippi,3,Pink,Spring,3.9,1,Store Pickup,1,1,48,Cash,4.0
128,24,Male,Sweater,Clothing,89,Mississippi,2,Gray,Winter,4.8,1,Next Day Air,1,1,26,Credit Card,52.0
129,20,Male,Scarf,Accessories,32,California,2,Gold,Spring,4.7,1,Standard,1,1,21,Credit Card,26.0
130,24,Male,Dress,Clothing,67,Pennsylvania,4,Olive,Summer,4.2,1,2-Day Shipping,1,1,49,PayPal,26.0
131,44,Male,Scarf,Accessories,39,Kentucky,3,Violet,Fall,3.7,1,Next Day Air,1,1,13,PayPal,26.0
132,28,Male,Skirt,Clothing,29,Maine,3,Indigo,Summer,3.9,1,Standard,1,1,46,Credit Card,52.0
133,30,Male,Backpack,Accessories,58,New Mexico,2,Orange,Fall,4.7,1,2-Day Shipping,1,1,42,PayPal,52.0
134,52,Male,Sweater,Clothing,65,Montana,2,Violet,Winter,2.5,1,Next Day Air,1,1,25,Venmo,1.0
135,43,Male,Hat,Accessories,94,Texas,3,Gray,Fall,4.9,1,Store Pickup,1,1,25,Cash,12.0
136,43,Male,Sandals,Footwear,81,Kansas,2,Purple,Fall,4.1,1,Express,1,1,12,PayPal,4.0
137,39,Male,Blouse,Clothing,86,South Carolina,2,White,Winter,3.3,1,Free Shipping,1,1,4,Debit Card,4.0
138,68,Male,Sneakers,Footwear,43,Colorado,2,Turquoise,Spring,4.7,1,Free Shipping,1,1,38,PayPal,52.0
139,68,Male,Skirt,Clothing,29,Georgia,2,Maroon,Winter,4.4,1,Store Pickup,1,1,42,Bank Transfer,52.0
140,49,Male,Coat,Outerwear,95,Florida,2,White,Fall,3.8,1,Store Pickup,1,1,30,Venmo,1.0
141,63,Male,Shirt,Clothing,28,North Carolina,3,Yellow,Fall,3.9,1,2-Day Shipping,1,1,50,Credit Card,52.0
142,56,Male,Gloves,Accessories,46,Virginia,2,Turquoise,Fall,4.9,1,Free Shipping,1,1,45,PayPal,52.0
143,37,Male,Jacket,Outerwear,58,Nebraska,3,Violet,Fall,3.1,1,Free Shipping,1,1,33,Credit Card,26.0
144,30,Male,Coat,Outerwear,48,Missouri,2,Beige,Fall,2.7,1,Store Pickup,1,1,25,PayPal,4.0
145,19,Male,Shoes,Footwear,43,New Jersey,2,Silver,Fall,3.2,1,Express,1,1,25,Cash,12.0
146,24,Male,Jewelry,Accessories,95,Missouri,2,Teal,Fall,4.5,1,Standard,1,1,44,Debit Card,4.0
147,52,Male,Skirt,Clothing,30,Colorado,1,Black,Fall,4.0,1,Standard,1,1,21,Venmo,26.0
148,63,Male,Shoes,Footwear,64,Idaho,2,Purple,Summer,3.5,1,2-Day Shipping,1,1,31,Bank Transfer,26.0
149,37,Male,Gloves,Accessories,90,Wyoming,2,Gray,Fall,2.6,1,Store Pickup,1,1,47,Debit Card,1.0
150,38,Male,Pants,Clothing,76,Delaware,2,White,Summer,3.2,1,Free Shipping,1,1,14,PayPal,12.0
151,35,Male,Boots,Footwear,96,California,3,Cyan,Fall,4.9,1,Standard,1,1,17,Debit Card,4.0
152,28,Male,Sunglasses,Accessories,47,North Dakota,3,Turquoise,Fall,4.5,1,Next Day Air,1,1,3,Venmo,1.0
153,30,Male,Shirt,Clothing,85,South Carolina,1,Brown,Summer,4.3,1,Express,1,1,42,Venmo,1.0
154,69,Male,Hoodie,Clothing,55,North Carolina,2,Maroon,Winter,3.2,1,Standard,1,1,22,Debit Card,1.0
155,41,Male,Dress,Clothing,98,Oklahoma,2,Charcoal,Fall,3.6,1,Next Day Air,1,1,21,Venmo,4.0
156,63,Male,Socks,Clothing,77,Maine,1,Olive,Spring,4.3,1,Free Shipping,1,1,21,Bank Transfer,4.0
157,35,Male,Shorts,Clothing,26,Missouri,2,Lavender,Fall,4.0,1,Standard,1,1,40,Debit Card,1.0
158,36,Male,Hat,Accessories,68,Vermont,1,Yellow,Fall,3.0,1,Next Day Air,1,1,1,Bank Transfer,26.0
159,25,Male,Shirt,Clothing,73,Connecticut,4,Teal,Fall,4.1,1,Standard,1,1,50,Bank Transfer,12.0
160,58,Male,Gloves,Accessories,27,New Hampshire,2,Charcoal,Fall,3.8,1,Store Pickup,1,1,39,Bank Transfer,4.0
161,27,Male,Gloves,Accessories,23,Texas,2,Orange,Summer,4.6,1,Free Shipping,1,1,34,Venmo,12.0
162,65,Male,Backpack,Accessories,49,North Dakota,2,Olive,Fall,3.0,1,Express,1,1,29,Venmo,26.0
163,54,Male,Sunglasses,Accessories,74,California,2,Turquoise,Summer,3.0,1,Store Pickup,1,1,31,PayPal,26.0
164,54,Male,Skirt,Clothing,67,Virginia,2,Purple,Summer,3.4,1,Standard,1,1,8,Debit Card,52.0
165,59,Male,Handbag,Accessories,65,Delaware,1,Purple,Spring,2.6,1,Free Shipping,1,1,5,Credit Card,26.0
166,42,Male,Handbag,Accessories,60,Kentucky,1,Yellow,Winter,2.8,1,Store Pickup,1,1,7,Cash,12.0
167,46,Male,Sneakers,Footwear,31,Delaware,4,Indigo,Fall,4.0,1,Store Pickup,1,1,30,Cash,12.0
168,33,Male,Gloves,Accessories,27,Arkansas,2,Green,Fall,4.0,1,Express,1,1,14,Credit Card,4.0
169,34,Male,Shoes,Footwear,80,Louisiana,2,Magenta,Summer,3.0,1,Express,1,1,5,Cash,26.0
170,27,Male,Jacket,Outerwear,30,Nevada,1,Gold,Summer,3.3,1,Standard,1,1,3,PayPal,4.0
171,52,Male,Shirt,Clothing,25,Wyoming,2,Maroon,Fall,2.6,1,Store Pickup,1,1,46,Venmo,26.0
172,29,Male,Shorts,Clothing,35,Virginia,2,Blue,Summer,3.6,1,Store Pickup,1,1,4,Credit Card,52.0
173,54,Male,Jewelry,Accessories,67,Nebraska,2,Violet,Summer,3.9,1,Next Day Air,1,1,42,Credit Card,26.0
174,25,Male,Hat,Accessories,46,Hawaii,2,Turquoise,Fall,3.4,1,Standard,1,1,30,Cash,1.0
175,41,Male,Shoes,Footwear,35,Vermont,3,Brown,Winter,3.5,1,Express,1,1,37,Venmo,1.0
176,53,Male,Coat,Outerwear,86,Oklahoma,3,Violet,Fall,2.8,1,Next Day Air,1,1,2,Bank Transfer,1.0
177,53,Male,Backpack,Accessories,81,New Hampshire,3,Black,Spring,2.7,1,Next Day Air,1,1,30,Credit Card,4.0
178,21,Male,Hoodie,Clothing,42,Kansas,3,Magenta,Fall,3.7,1,Next Day Air,1,1,47,Bank Transfer,12.0
179,61,Male,Skirt,Clothing,43,Idaho,3,Lavender,Fall,4.3,1,2-Day Shipping,1,1,21,PayPal,4.0
180,64,Male,Boots,Footwear,31,Illinois,2,Violet,Fall,4.9,1,Store Pickup,1,1,9,Bank Transfer,26.0
181,51,Male,Sandals,Footwear,81,South Dakota,3,Green,Fall,3.3,1,Store Pickup,1,1,12,Debit Card,26.0
182,32,Male,Pants,Clothing,61,Massachusetts,2,Beige,Summer,4.7,1,Next Day Air,1,1,4,Bank Transfer,52.0
183,38,Male,Gloves,Accessories,96,Alabama,4,Purple,Summer,2.8,1,Store Pickup,1,1,10,Debit Card,1.0
184,58,Male,Skirt,Clothing,29,Ohio,4,Beige,Spring,3.6,1,2-Day Shipping,1,1,26,Credit Card,52.0
185,32,Male,Sneakers,Footwear,33,Hawaii,3,Cyan,Spring,3.0,1,Express,1,1,40,Cash,26.0
186,46,Male,T-shirt,Clothing,32,Wisconsin,4,Silver,Summer,4.5,1,Store Pickup,1,1,34,Bank Transfer,26.0
187,39,Male,Backpack,Accessories,56,Minnesota,1,Lavender,Summer,2.9,1,Standard,1,1,31,Debit Card,1.0
188,19,Male,Shoes,Footwear,94,Georgia,1,Purple,Spring,3.3,1,Store Pickup,1,1,1,Bank Transfer,26.0
189,50,Male,Hoodie,Clothing,53,Arkansas,2,Pink,Spring,3.1,1,Express,1,1,5,Bank Transfer,26.0
190,36,Male,Blouse,Clothing,82,West Virginia,2,Maroon,Fall,4.4,1,Next Day Air,1,1,4,Credit Card,52.0
191,65,Male,Coat,Outerwear,70,Indiana,4,Beige,Fall,3.0,1,Free Shipping,1,1,48,Venmo,4.0
192,64,Male,Hat,Accessories,76,Utah,2,Gray,Fall,3.9,1,Free Shipping,1,1,29,Cash,4.0
193,46,Male,Shoes,Footwear,29,Nebraska,3,Turquoise,Summer,2.9,1,Express,1,1,12,PayPal,26.0
194,36,Male,Belt,Accessories,100,North Dakota,1,Silver,Fall,3.0,1,Standard,1,1,29,Venmo,1.0
195,51,Male,Backpack,Accessories,94,Missouri,2,Olive,Spring,3.1,1,Express,1,1,15,Debit Card,4.0
196,51,Male,Jacket,Outerwear,25,New York,2,Magenta,Fall,4.3,1,Free Shipping,1,1,34,Credit Card,12.0
197,38,Male,Boots,Footwear,88,Washington,2,Lavender,Summer,3.9,1,Next Day Air,1,1,41,Credit Card,26.0
198,59,Male,Scarf,Accessories,78,South Carolina,2,Black,Fall,3.2,1,2-Day Shipping,1,1,41,Credit Card,12.0
199,57,Male,Jewelry,Accessories,45,Utah,2,Turquoise,Winter,4.8,1,Standard,1,1,39,Credit Card,26.0
200,54,Male,Hat,Accessories,73,Idaho,4,Green,Summer,3.8,1,Express,1,1,32,Cash,52.0
201,25,Male,Dress,Clothing,61,Pennsylvania,1,Teal,Summer,3.3,1,Next Day Air,1,1,29,Venmo,12.0
202,69,Male,Blouse,Clothing,22,Missouri,1,Beige,Fall,4.3,1,Free Shipping,1,1,15,Bank Transfer,1.0
203,57,Male,Hat,Accessories,38,Nebraska,3,Magenta,Spring,2.7,1,Express,1,1,33,Venmo,1.0
204,70,Male,Scarf,Accessories,38,Indiana,1,Yellow,Fall,3.2,1,Next Day Air,1,1,18,Bank Transfer,52.0
205,24,Male,Sneakers,Footwear,100,Arizona,2,Yellow,Fall,4.0,1,Store Pickup,1,1,35,Cash,26.0
206,67,Male,Shirt,Clothing,64,Hawaii,2,Silver,Winter,3.0,1,Standard,1,1,25,PayPal,52.0
207,24,Male,T-shirt,Clothing,55,Wisconsin,3,Silver,Summer,4.2,1,Free Shipping,1,1,6,Venmo,26.0
208,62,Male,Gloves,Accessories,91,Rhode Island,2,Silver,Summer,2.9,1,Express,1,1,17,Bank Transfer,26.0
209,57,Male,Skirt,Clothing,38,Wisconsin,2,Gold,Spring,4.1,1,Store Pickup,1,1,17,Credit Card,12.0
210,55,Male,Sandals,Footwear,97,Minnesota,1,Olive,Winter,3.2,1,Store Pickup,1,1,44,Cash,4.0
211,45,Male,Jacket,Outerwear,22,Vermont,3,Teal,Fall,3.0,1,2-Day Shipping,1,1,6,PayPal,26.0
212,69,Male,Skirt,Clothing,92,South Dakota,3,Maroon,Fall,4.2,1,2-Day Shipping,1,1,45,Debit Card,26.0
213,67,Male,Handbag,Accessories,84,Virginia,3,Blue,Fall,4.2,1,Express,1,1,7,Debit Card,1.0
214,30,Male,Handbag,Accessories,93,Nevada,3,Peach,Fall,4.4,1,Store Pickup,1,1,11,Debit Card,4.0
215,24,Male,Jacket,Outerwear,50,Hawaii,3,Blue,Summer,4.2,1,Next Day Air,1,1,41,Cash,4.0
216,62,Male,Scarf,Accessories,64,New Jersey,1,Orange,Spring,2.8,1,2-Day Shipping,1,1,24,PayPal,26.0
217,43,Male,Shorts,Clothing,61,Massachusetts,3,Yellow,Spring,3.7,1,Free Shipping,1,1,21,Venmo,52.0
218,35,Male,Sunglasses,Accessories,48,Oklahoma,2,Purple,Winter,3.5,1,Next Day Air,1,1,24,Bank Transfer,1.0
219,28,Male,T-shirt,Clothing,45,California,1,Magenta,Spring,2.9,1,Store Pickup,1,1,8,Credit Card,4.0
220,32,Male,Belt,Accessories,88,Nevada,2,Cyan,Spring,3.0,1,Free Shipping,1,1,12,Cash,26.0
221,39,Male,Sneakers,Footwear,57,Arizona,1,Indigo,Spring,3.7,1,Express,1,1,48,Debit Card,26.0
